,francolin; crested,starling; superb,morning-thrush; spotted,shrike; northern white crowned,dove; ring-necked,goshawk; eastern pale chanting,bushshrike; rosy-patched,bulbul; common,boubou; slate-colored,babbler; northern pied,brownbul; northern,cordonbleu; blue-capped,bushshrike; gray-headed,falcon; pygmy,green wood hoopoe,grey backed camaroptera,go-away-bird; white-bellied,lapwing; black-headed,sandgrouse; black-faced,puffback; black-backed,prinia; tawny-flanked,drongo; fork-tailed,starling; hildebrandt's,crombec; northern,bustard; buff-crested,starling; fischer's,vulture; white-backed,roller; lilac-breasted,shrike; white-rumped,scimitarbill; abyssinian,canary; white-bellied,sunbird; beautiful,wren-warbler; gray,african hoopoe,mousebird; blue-naped,parisoma; banded,woodpecker; bearded,weaver; white headed buffalo,scrub-robin; red-backed,cisticola; tiny,mousebird; white-headed,oxpecker; red-billed,starling; wattled,swift; white-rumped,oriole; african black-headed,flycatcher; african gray,francolin; yellow-necked,masked-weaver; lesser,sunbird; eastern violet-backed,sparrow-weaver; white-browed,bushshrike; sulphur-breasted,sparrow; parrot-billed,batis; chinspot,fiscal; taita,waxbill; black-faced,wood-dove; emerald-spotted,yellow necked spurfowl,woodpecker; nubian,lapwing; crowned,spotted thick knee,weaver; black-necked,buffalo-weaver; red-billed,woodpecker; cardinal,dove; african mourning,chatterer; rufous,spotted palm thrush,weaver; gray headed social,eagle-owl; verreaux's,spotted thicknee,weaver; vitelline masked,bee-eater; little,fiscal; long-tailed,grey headed sparrow,barbet; red-and-yellow,goshawk; gabar,cisticola; zitting,white browed scrub robin,siffling cisticola,dove; laughing,ostrich; common,white-eye; abyssinian,bustard; white-bellied,pytilia; green-winged,brubru,hornbill; von der decken's,tchagra; brown-crowned,barbet; black-throated,tchagra; black-crowned,thrush; african bare-eyed,tit; red-throated,grenadier; purple,cisticola; rattling,sparrow-lark; fischer's,sandgrouse; chestnut-bellied,longclaw; pangani,secretary bird,eagle; tawny,courser; three-banded,eremomela; yellow-bellied,apalis; yellow-breasted,two banded courser,guineafowl; helmeted,barbet; d'arnaud's,sparrow; yellow-spotted bush,black headed weaver,hornbill; northern red-billed,flycatcher; southern black,lark; pink-breasted,oxpecker; yellow-billed,weaver; speckle-fronted,grosbeak canary;northern,banded couser,yellow spotted petronia,bunting; somali,crombec; red-faced,southern grosbeak canary,cordonbleu; red-cheeked,tinkerbird; red-fronted,hornbill; african gray,owlet; pearl-spotted,prinia; red-fronted,barbet; red-fronted,mousebird; speckled,sparrow; chestnut,barbet; spot-flanked,honeyguide; lesser,sunbird; scarlet-chested,harrier-hawk; african,african pied wagtail,openbill; african,hawk-eagle; african,nan,bittern; little,eagle; martial,cisticola; desert,african paradise flycatcher,parrot; red-bellied,hamerkop,swallow; lesser striped,swallow; red-rumped,bustard; kori,Spot
0,11.0,10.0,2.0,1.0,15.0,1.0,1.0,1.0,6.0,30.0,5.0,2.0,1.0,3.0,10.0,2.0,10.0,1.0,13.0,2.0,2.0,5.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,5.0,1.0,1.0,7.0,2.0,2.0,13.0,3.0,24.0,4.0,1.0,1.0,5.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1A
1,1.0,6.0,2.0,0.0,11.0,2.0,0.0,2.0,7.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,2.0,0.0,5.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,6.0,0.0,11.0,1.0,0.0,7.0,3.0,6.0,0.0,1.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B
2,5.0,4.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,10.0,3.0,0.0,1.0,0.0,6.0,1.0,11.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,5.0,3.0,7.0,0.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1C
3,3.0,2.0,6.0,2.0,7.0,2.0,0.0,4.0,6.0,25.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,0.0,13.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,5.0,0.0,11.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,2.0,7.0,0.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1D
4,6.0,10.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,8.0,9.0,0.0,9.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,12.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1E
5,9.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,11.0,1.0,0.0,2.0,0.0,1.0,4.0,14.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2A
6,9.0,4.0,1.0,1.0,12.0,1.0,2.0,0.0,8.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,10.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,0.0,7.0,0.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2B
7,8.0,21.0,4.0,0.0,7.0,1.0,3.0,0.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0,3.0,5.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,63.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2C
8,6.0,17.0,3.0,0.0,6.0,0.0,3.0,0.0,4.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2D
9,7.0,11.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,1.0,11.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2E
10,7.0,12.0,1.0,0.0,5.0,2.0,0.0,0.0,4.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,6.0,2.0,0.0,1.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,6.0,3.0,0.0,5.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3A
11,14.0,10.0,3.0,0.0,8.0,1.0,2.0,2.0,8.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,12.0,2.0,0.0,3.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,14.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3B
12,10.0,8.0,1.0,0.0,5.0,0.0,3.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,3.0,7.0,0.0,0.0,9.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,9.0,3.0,8.0,0.0,6.0,18.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3C
13,5.0,10.0,1.0,0.0,3.0,0.0,2.0,0.0,5.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,9.0,1.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,9.0,3.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D
14,5.0,9.0,2.0,0.0,4.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,35.0,0.0,0.0,2.0,0.0,9.0,6.0,4.0,1.0,0.0,5.0,0.0,9.0,3.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3E
15,3.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,8.0,3.0,11.0,1.0,0.0,1.0,5.0,4.0,7.0,17.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,8.0,1.0,4.0,0.0,3.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4A
16,9.0,3.0,0.0,0.0,6.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,1.0,2.0,2.0,5.0,18.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,9.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4B
17,5.0,5.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,13.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4C
18,4.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,5.0,15.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,5.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4D
